,size_decile,pre_beta_decile,n_firms,mean_lnME,mean_pre_beta,Date
2400,1,1,91,10.68609105874208,0.14026922806386488,2023-06-30
2401,1,2,35,10.717406578460903,0.598073226275605,2023-06-30
2402,1,3,43,10.700544488994533,0.7333113806052094,2023-06-30
2403,1,4,43,10.712037991008895,0.8523516312267725,2023-06-30
2404,1,5,25,10.769678436025497,0.9494143011003883,2023-06-30
2405,1,6,56,10.762060995066934,1.0289661835181632,2023-06-30
2406,1,7,53,10.818211833604138,1.1707771625685253,2023-06-30
2407,1,8,54,10.817992741019461,1.3418779908325764,2023-06-30
2408,1,9,44,10.809756110674018,1.5304653153527517,2023-06-30
2409,1,10,45,10.74338136115726,2.103901469282399,2023-06-30
2410,2,1,26,11.266292673142448,0.09655147373964662,2023-06-30
2411,2,2,40,11.272559265046493,0.5685191195273495,2023-06-30
2412,2,3,20,11.284288573485092,0.8023696216318503,2023-06-30
